Frequency (Hz)	Level (dB)
12000.000000	-49.969788
12046.875000	-49.795910
12093.750000	-49.646343
12140.625000	-49.869186
12187.500000	-50.176060
12234.375000	-50.371006
12281.250000	-49.792301
12328.125000	-49.424709
12375.000000	-48.777866
12421.875000	-48.732479
12468.750000	-48.257450
12515.625000	-48.529564
12562.500000	-48.971233
12609.375000	-48.709969
12656.250000	-48.904388
12703.125000	-49.076729
12750.000000	-49.345776
12796.875000	-48.648628
12843.750000	-48.079323
12890.625000	-48.424271
12937.500000	-48.006378
12984.375000	-48.448547
13031.250000	-48.441807
13078.125000	-48.193848
13125.000000	-48.012531
13171.875000	-48.011925
13218.750000	-49.211849
13265.625000	-49.332062
13312.500000	-48.955700
13359.375000	-49.115505
13406.250000	-49.002693
13453.125000	-48.953571
13500.000000	-48.635910
13546.875000	-48.538704
13593.750000	-48.174160
13640.625000	-48.240761
13687.500000	-48.711529
13734.375000	-49.386997
13781.250000	-49.512161
13828.125000	-49.188007
13875.000000	-49.372528
13921.875000	-49.157330
13968.750000	-49.028339
14015.625000	-48.879772
